sku,product_family,warehouse,on_hand_qty,unit_cost,reorder_point,lead_time_days,last_received_date
NK-VL-1176,Valves,CA-LAX-01,319,16973.87,88,17,2026-05-22
NK-MT-1090,Motors,TX-HOU-02,469,20785.53,63,24,2026-03-31
NK-IN-1487,Instrumentation,,156,31.71,46,89,2025-02-13
NK-SL-1449,Seals & Bearings,CA-LAX-01,350,20288.98,15,90,2026-05-28
NK-CM-1116,Compressors,CA-LAX-01,35,12400.24,48,8,2026-05-19
NK-VL-1194,Valves,PA-PHL-01,17,14203.13,98,23,2024-04-02
NK-VL-1378,Valves,TX-HOU-02,55,15087.35,80,37,2024-09-05
NK-MT-1419,Motors,CA-LAX-01,121,7399.16,23,91,2025-06-17
NK-MT-1252,Motors,PA-PHL-01,268,1934.69,44,102,2024-12-13
NK-MT-1369,Motors,PA-PHL-01,160,23439.16,63,75,2024-12-16
NK-MT-1169,Motors,OH-CLE-01,337,12000.53,24,64,2025-07-05
NK-MT-1329,Motors,PA-PHL-01,393,10036.14,78,16,2024-05-08
NK-CP-1045,Cryogenic Pumps,TX-HOU-02,194,61.29,54,40,2026-03-13
NK-SL-1213,Seals & Bearings,TX-HOU-02,168,18973.95,81,7,2024-10-10
NK-VL-1418,Valves,TX-HOU-02,417,22452.44,78,47,2025-08-14
NK-IN-1303,Instrumentation,TX-HOU-02,415,3311.24,96,106,2025-04-13
NK-CP-1228,Cryogenic Pumps,CA-LAX-01,415,3195.22,12,82,2025-07-29
NK-MT-1256,Motors,TX-HOU-02,389,18601.28,14,29,2026-03-02
NK-CP-1262,Cryogenic Pumps,OH-CLE-01,304,12427.35,64,81,2025-07-21
NK-MT-1238,Motors,TX-HOU-02,192,10290.83,48,27,2025-01-13
NK-IN-1463,Instrumentation,PA-PHL-01,43,18920.04,42,109,2024-09-09
NK-SL-1456,Seals & Bearings,PA-PHL-01,475,1892.81,25,79,2024-09-03
NK-VL-1479,Valves,PA-PHL-01,186,2797.78,77,32,2025-08-29
NK-CM-1049,Compressors,OH-CLE-01,470,20892.89,25,14,2025-06-04
NK-CP-1226,Cryogenic Pumps,CA-LAX-01,218,7662.67,37,54,2024-06-05
NK-CP-1332,Cryogenic Pumps,TX-HOU-01,265,3756.08,26,27,2024-11-26
NK-VL-1286,Valves,PA-PHL-01,463,12581.28,60,18,2024-08-15
NK-VL-1123,Valves,CA-LAX-01,174,6857.76,81,96,2026-06-20
NK-VL-1376,Valves,TX-HOU-01,177,22638.88,88,39,2026-02-04
NK-CP-1354,Cryogenic Pumps,TX-HOU-02,499,2376.37,52,108,2024-12-13
NK-IN-1309,Instrumentation,PA-PHL-01,188,22646.25,71,41,2026-03-31
NK-IN-1133,Instrumentation,OH-CLE-01,64,6726.8,11,77,2024-10-26
NK-MT-1260,Motors,TX-HOU-01,180,12433.94,44,66,2025-04-07
NK-SL-1096,Seals & Bearings,TX-HOU-02,118,9389.61,24,97,2024-08-07
NK-CM-1110,Compressors,TX-HOU-01,288,23220.49,64,96,2024-09-19
NK-CP-1009,Cryogenic Pumps,TX-HOU-01,338,5590.07,42,17,2026-05-25
NK-CM-1079,Compressors,CA-LAX-01,206,17084.18,75,23,2024-07-15
NK-CM-1341,Compressors,TX-HOU-01,352,1475.86,61,60,2025-05-10
NK-IN-1146,Instrumentation,OH-CLE-01,338,19697.36,30,61,2024-04-27
NK-IN-1114,Instrumentation,TX-HOU-02,52,17083.8,43,115,2025-12-01
NK-VL-1311,Valves,TX-HOU-01,40,8039.75,42,46,2025-04-01
NK-IN-1335,Instrumentation,CA-LAX-01,314,13074.18,69,89,2024-06-21
NK-CM-1348,Compressors,CA-LAX-01,254,576.12,55,71,2025-04-13
NK-MT-1437,Motors,TX-HOU-02,255,13494.56,92,50,2024-09-20
NK-VL-1242,Valves,TX-HOU-02,386,12556.63,49,62,2024-04-23
NK-IN-1371,Instrumentation,CA-LAX-01,312,11866.8,36,42,2025-07-25
NK-IN-1271,Instrumentation,PA-PHL-01,66,14581.95,15,46,2025-07-26
NK-VL-1171,Valves,TX-HOU-02,357,5857.21,54,36,2026-05-26
NK-IN-1308,Instrumentation,PA-PHL-01,458,23434.1,48,30,2025-05-23
NK-IN-1199,Instrumentation,PA-PHL-01,495,20722.05,76,53,2024-04-02
NK-IN-1414,Instrumentation,TX-HOU-01,16,19833.83,58,85,2026-02-23
NK-CM-1342,Compressors,TX-HOU-02,174,14866.52,45,117,2026-01-05
NK-VL-1181,Valves,TX-HOU-01,150,8787.8,60,25,2024-09-07
NK-SL-1020,Seals & Bearings,TX-HOU-02,405,16674.51,81,15,2025-01-29
NK-VL-1359,Valves,OH-CLE-01,172,12433.4,70,75,2025-05-16
NK-CM-1475,Compressors,CA-LAX-01,430,15197.94,47,63,2024-12-08
NK-VL-1307,Valves,CA-LAX-01,63,19585.59,60,120,2025-02-13
NK-IN-1339,Instrumentation,TX-HOU-01,254,21781.37,74,44,2025-10-19
NK-VL-1197,Valves,PA-PHL-01,495,19760.61,100,118,2024-12-12
NK-CM-1266,Compressors,PA-PHL-01,268,12811.38,25,53,2025-01-16
NK-VL-1408,Valves,PA-PHL-01,92,18841.78,87,100,2025-10-23
NK-IN-1478,Instrumentation,PA-PHL-01,495,14112.65,36,48,2025-01-20
NK-CM-1170,Compressors,CA-LAX-01,170,13525.79,74,55,2025-04-11
NK-CP-1218,Cryogenic Pumps,PA-PHL-01,257,5434.59,83,12,2026-01-14
NK-VL-1078,Valves,TX-HOU-01,368,22052.0,69,46,2025-11-13
NK-VL-1236,Valves,CA-LAX-01,3,4451.39,23,79,2025-11-04
NK-SL-1014,Seals & Bearings,CA-LAX-01,431,18825.65,12,36,2026-04-21
NK-CP-1104,Cryogenic Pumps,PA-PHL-01,69,21238.99,28,13,2024-09-23
NK-SL-1011,Seals & Bearings,CA-LAX-01,181,5139.64,39,96,2025-11-30
NK-VL-1193,Valves,TX-HOU-02,321,2388.19,85,89,2024-02-10
NK-CP-1007,Cryogenic Pumps,PA-PHL-01,274,3065.68,53,17,2025-07-19
NK-VL-1243,Valves,OH-CLE-01,249,12913.91,44,12,2024-08-13
NK-SL-1397,Seals & Bearings,TX-HOU-02,490,3279.8,24,65,2026-02-04
NK-SL-1138,Seals & Bearings,OH-CLE-01,485,7449.89,36,22,2025-07-25
NK-IN-1189,Instrumentation,CA-LAX-01,11,23959.83,89,57,2024-10-08
NK-VL-1124,Valves,OH-CLE-01,5,12661.48,29,17,2024-09-04
NK-MT-1283,Motors,OH-CLE-01,214,23673.86,30,109,2025-09-11
NK-CM-1082,Compressors,OH-CLE-01,310,16043.22,64,63,2025-03-28
NK-SL-1245,Seals & Bearings,CA-LAX-01,148,8044.71,5,70,2026-02-03
NK-IN-1083,Instrumentation,TX-HOU-02,261,11597.54,99,28,2025-11-05
NK-SL-1131,Seals & Bearings,PA-PHL-01,141,17754.67,72,83,2024-10-16
NK-CM-1366,Compressors,CA-LAX-01,214,3717.28,93,33,2025-02-24
NK-SL-1326,Seals & Bearings,TX-HOU-02,404,12107.84,51,77,2025-08-09
NK-SL-1211,Seals & Bearings,OH-CLE-01,497,531.58,47,38,2024-05-08
NK-IN-1285,Instrumentation,OH-CLE-01,435,3062.05,15,104,2024-06-13
NK-MT-1041,Motors,PA-PHL-01,71,10341.01,40,66,2024-09-12
NK-VL-1461,Valves,TX-HOU-01,324,6702.69,62,69,2024-08-21
NK-SL-1019,Seals & Bearings,OH-CLE-01,252,2235.01,11,117,2024-04-22
NK-CP-1276,Cryogenic Pumps,OH-CLE-01,394,13228.3,99,120,2025-06-23
NK-MT-1370,Motors,CA-LAX-01,346,18915.69,97,94,2025-10-20
NK-CM-1117,Compressors,PA-PHL-01,54,10626.14,51,88,2026-07-01
NK-SL-1065,Seals & Bearings,PA-PHL-01,65,1032.95,51,108,2026-05-31
NK-IN-1125,Instrumentation,PA-PHL-01,250,13605.6,35,95,2025-05-02
NK-CP-1158,Cryogenic Pumps,PA-PHL-01,442,12611.73,5,91,2026-06-09
NK-CP-1296,Cryogenic Pumps,OH-CLE-01,180,5900.28,58,30,2025-11-11
NK-CM-1204,Compressors,TX-HOU-01,71,1119.11,9,45,2025-05-19
NK-IN-1255,Instrumentation,TX-HOU-02,120,2526.34,37,32,2024-06-26
NK-MT-1182,Motors,PA-PHL-01,289,16706.81,28,28,2024-06-28
NK-VL-1102,Valves,PA-PHL-01,370,4050.69,64,23,2025-09-29
NK-VL-1241,Valves,PA-PHL-01,338,10393.26,82,63,2025-02-28
NK-CM-1106,Compressors,CA-LAX-01,385,23304.92,58,39,2026-05-04
NK-VL-1269,Valves,CA-LAX-01,370,20864.64,82,118,2024-06-02
NK-MT-1073,Motors,CA-LAX-01,480,684.48,38,29,2025-08-17
NK-IN-1129,Instrumentation,PA-PHL-01,138,7518.16,34,22,2026-01-08
NK-SL-1101,Seals & Bearings,PA-PHL-01,112,6693.1,67,10,2025-02-02
NK-MT-1405,Motors,PA-PHL-01,344,19771.07,97,9,2025-02-09
NK-SL-1010,Seals & Bearings,TX-HOU-01,194,6816.49,86,113,2025-01-08
NK-VL-1223,Valves,PA-PHL-01,258,14836.31,17,108,2025-12-19
NK-SL-1345,Seals & Bearings,TX-HOU-01,25,7116.23,54,117,2025-09-22
NK-MT-1496,Motors,TX-HOU-02,-11,284.33,34,36,2026-03-27
NK-MT-1444,Motors,OH-CLE-01,210,298.75,72,99,2024-10-08
NK-CM-1425,Compressors,PA-PHL-01,285,12988.79,54,38,2024-09-18
NK-SL-1320,Seals & Bearings,PA-PHL-01,265,9486.4,76,22,2024-09-25
NK-MT-1120,Motors,CA-LAX-01,165,20868.23,16,42,2026-06-21
NK-MT-1367,Motors,OH-CLE-01,471,11558.83,99,100,2024-03-04
NK-CM-1139,Compressors,OH-CLE-01,305,19374.93,33,106,2025-06-19
NK-CP-1455,Cryogenic Pumps,TX-HOU-02,475,20836.75,7,33,2025-08-24
NK-MT-1411,Motors,PA-PHL-01,270,3127.42,33,113,2024-01-04
NK-CM-1497,Compressors,TX-HOU-02,-6,323.83,32,57,2024-01-30
NK-VL-1422,Valves,PA-PHL-01,402,12853.39,94,60,2025-02-22
NK-VL-1239,Valves,CA-LAX-01,397,23064.98,81,17,2026-06-23
NK-IN-1464,Instrumentation,TX-HOU-01,42,6571.54,53,98,2026-03-13
NK-IN-1092,Instrumentation,OH-CLE-01,218,20350.38,75,64,2024-06-11
NK-CP-1003,Cryogenic Pumps,OH-CLE-01,101,17544.89,94,76,2025-03-05
NK-CP-1215,Cryogenic Pumps,TX-HOU-02,7,8782.39,35,82,2024-11-27
NK-CM-1237,Compressors,TX-HOU-01,72,18155.94,8,18,2026-02-03
NK-VL-1372,Valves,TX-HOU-02,482,23836.54,43,105,2024-10-22
NK-CM-1438,Compressors,PA-PHL-01,235,4128.79,50,28,2024-05-23
NK-CM-1163,Compressors,TX-HOU-01,115,24310.37,19,66,2024-04-30
NK-VL-1028,Valves,TX-HOU-02,29,5907.81,77,17,2024-03-28
NK-VL-1267,Valves,PA-PHL-01,209,18976.3,91,83,2024-02-23
,Compressors,OH-CLE-01,129,462.51,49,60,2025-07-10
NK-IN-1061,Instrumentation,CA-LAX-01,258,11973.38,11,18,2025-10-11
NK-SL-1013,Seals & Bearings,PA-PHL-01,194,6619.93,86,95,2025-07-24
NK-CP-1304,Cryogenic Pumps,CA-LAX-01,103,1081.38,30,120,2024-02-12
NK-VL-1075,Valves,PA-PHL-01,310,24113.91,19,56,2025-08-13
NK-VL-1492,Valves,PA-PHL-01,-3,66.87,14,51,2024-11-15
NK-CM-1259,Compressors,TX-HOU-01,240,10838.84,43,108,2024-10-08
NK-SL-1130,Seals & Bearings,CA-LAX-01,61,18202.77,93,30,2024-07-15
NK-CP-1240,Cryogenic Pumps,TX-HOU-02,80,18485.77,11,93,2024-03-24
NK-CM-1413,Compressors,TX-HOU-02,126,11289.9,24,42,2024-07-12
NK-CM-1375,Compressors,CA-LAX-01,488,18942.01,23,44,2024-02-13
NK-MT-1077,Motors,TX-HOU-02,186,10571.62,90,49,2025-09-30
NK-MT-1168,Motors,CA-LAX-01,420,71.33,97,45,2026-05-07
NK-CP-1006,Cryogenic Pumps,TX-HOU-01,194,2377.23,49,84,2024-09-27
NK-IN-1324,Instrumentation,TX-HOU-01,281,13287.09,43,115,2024-06-10
NK-CM-1155,Compressors,TX-HOU-01,240,8530.59,47,48,2025-11-17
NK-SL-1349,Seals & Bearings,TX-HOU-02,298,8651.43,11,43,2025-05-21
NK-MT-1153,Motors,TX-HOU-01,390,18530.66,65,73,2025-10-29
NK-IN-1333,Instrumentation,TX-HOU-02,177,23213.78,71,43,2026-05-16
NK-IN-1185,Instrumentation,TX-HOU-01,460,19715.17,41,93,2025-07-13
NK-SL-1381,Seals & Bearings,PA-PHL-01,334,22908.84,65,68,2025-10-28
NK-MT-1358,Motors,CA-LAX-01,83,9632.55,83,101,2026-05-12
NK-MT-1447,Motors,OH-CLE-01,129,19974.32,39,108,2025-02-10
NK-VL-1282,Valves,OH-CLE-01,225,11315.74,41,106,2025-01-26
NK-VL-1195,Valves,CA-LAX-01,382,10184.79,30,23,2026-03-16
NK-MT-1229,Motors,CA-LAX-01,343,3002.13,50,118,2025-11-12
NK-IN-1257,Instrumentation,PA-PHL-01,237,18486.01,79,64,2025-11-28
NK-IN-1222,Instrumentation,OH-CLE-01,280,17450.19,53,83,2025-06-27
NK-MT-1436,Motors,PA-PHL-01,151,3741.28,47,36,2025-01-23
NK-SL-1186,Seals & Bearings,TX-HOU-01,226,23158.74,80,45,2025-10-16
NK-CM-1150,Compressors,CA-LAX-01,256,13233.46,61,17,2025-09-04
NK-MT-1031,Motors,PA-PHL-01,493,5195.76,74,103,2026-01-17
NK-CP-1221,Cryogenic Pumps,CA-LAX-01,311,3641.42,21,42,2025-10-01
NK-IN-1410,Instrumentation,OH-CLE-01,68,16014.53,49,22,2024-07-01
NK-IN-1025,Instrumentation,CA-LAX-01,430,15657.33,82,32,2024-06-05
NK-CM-1346,Compressors,TX-HOU-02,492,21201.18,25,111,2024-12-01
NK-CP-1055,Cryogenic Pumps,TX-HOU-01,234,15221.62,77,19,2024-03-16
NK-CP-1310,Cryogenic Pumps,PA-PHL-01,40,10554.72,28,76,2024-10-27
NK-VL-1288,Valves,TX-HOU-02,197,24365.92,52,35,2024-01-29
NK-CM-1157,Compressors,OH-CLE-01,18,11147.87,45,39,2024-11-27
NK-CP-1468,Cryogenic Pumps,TX-HOU-01,45,8676.39,16,83,2025-09-04
NK-IN-1428,Instrumentation,OH-CLE-01,308,977.08,14,31,2026-04-03
NK-CP-1454,Cryogenic Pumps,TX-HOU-01,350,22677.46,74,79,2025-11-04
NK-VL-1460,Valves,OH-CLE-01,393,15042.98,81,57,2026-03-03
NK-CM-1054,Compressors,TX-HOU-02,343,15817.78,63,47,2026-02-08
,Cryogenic Pumps,CA-LAX-01,179,448.8,39,83,2025-10-15
NK-SL-1089,Seals & Bearings,TX-HOU-02,411,23470.53,71,66,2024-02-21
NK-IN-1403,Instrumentation,TX-HOU-02,367,14290.66,16,72,2025-04-01
NK-IN-1268,Instrumentation,CA-LAX-01,33,8083.12,76,93,2025-01-30
NK-VL-1493,Valves,PA-PHL-01,-7,265.35,27,67,2024-04-09
NK-IN-1465,Instrumentation,TX-HOU-02,378,9550.93,51,20,2024-04-03
NK-MT-1247,Motors,CA-LAX-01,36,9733.37,99,12,2025-03-22
NK-CM-1144,Compressors,CA-LAX-01,16,5677.7,95,43,2025-12-20
NK-CP-1135,Cryogenic Pumps,OH-CLE-01,145,11504.74,61,50,2024-07-07
NK-CM-1017,Compressors,TX-HOU-02,135,3428.26,100,78,2025-07-05
NK-CP-1036,Cryogenic Pumps,OH-CLE-01,121,6828.83,67,34,2025-07-06
NK-CM-1173,Compressors,TX-HOU-02,253,23638.5,21,71,2025-08-27
NK-CP-1328,Cryogenic Pumps,TX-HOU-01,158,9760.04,96,99,2025-05-05
NK-CP-1034,Cryogenic Pumps,OH-CLE-01,283,5644.35,33,7,2024-03-13
NK-CM-1319,Compressors,CA-LAX-01,332,6834.03,19,10,2026-01-23
NK-IN-1208,Instrumentation,CA-LAX-01,111,10867.62,35,116,2025-01-06
NK-IN-1450,Instrumentation,TX-HOU-01,47,9934.37,53,77,2025-05-02
NK-CP-1097,Cryogenic Pumps,PA-PHL-01,208,8112.28,64,60,2024-03-04
NK-IN-1035,Instrumentation,TX-HOU-01,117,1659.24,9,117,2024-12-04
NK-SL-1076,Seals & Bearings,CA-LAX-01,22,17367.71,5,73,2026-04-05
NK-SL-1292,Seals & Bearings,TX-HOU-02,280,23036.04,82,74,2025-03-09
NK-VL-1094,Valves,OH-CLE-01,248,15358.51,40,63,2024-03-20
NK-VL-1390,Valves,OH-CLE-01,345,18555.49,27,85,2026-05-26
NK-VL-1318,Valves,PA-PHL-01,390,1891.54,22,74,2025-01-10
NK-VL-1265,Valves,TX-HOU-01,258,15833.12,10,38,2025-12-25
NK-IN-1439,Instrumentation,OH-CLE-01,250,4516.11,74,89,2024-03-01
NK-IN-1383,Instrumentation,OH-CLE-01,118,13115.18,97,115,2024-02-08
NK-IN-1022,Instrumentation,TX-HOU-01,349,21678.3,39,105,2025-10-18
NK-SL-1098,Seals & Bearings,PA-PHL-01,199,22169.35,79,96,2024-01-21
NK-CP-1386,Cryogenic Pumps,CA-LAX-01,290,14771.56,47,43,2025-04-10
NK-VL-1018,Valves,OH-CLE-01,219,21997.53,56,53,2024-08-12
NK-IN-1458,Instrumentation,TX-HOU-02,404,24217.81,97,17,2025-05-27
NK-MT-1254,Motors,OH-CLE-01,99,22195.91,49,51,2026-01-14
NK-VL-1177,Valves,OH-CLE-01,194,23376.81,85,98,2026-06-27
NK-MT-1298,Motors,OH-CLE-01,283,506.52,65,12,2025-10-12
NK-CM-1220,Compressors,PA-PHL-01,351,2652.65,96,63,2024-03-16
NK-MT-1374,Motors,CA-LAX-01,147,2993.38,91,76,2025-01-23
NK-CP-1415,Cryogenic Pumps,TX-HOU-02,105,1656.56,81,11,2025-04-02
NK-IN-1087,Instrumentation,OH-CLE-01,99,17601.87,54,70,2025-02-13
NK-CP-1393,Cryogenic Pumps,CA-LAX-01,196,5776.77,39,49,2024-11-05
NK-SL-1290,Seals & Bearings,TX-HOU-01,146,22476.91,65,96,2026-05-01
NK-CM-1002,Compressors,TX-HOU-01,15,2303.24,34,71,2025-09-08
NK-CM-1113,Compressors,PA-PHL-01,482,17520.28,14,82,2025-12-08
NK-VL-1174,Valves,TX-HOU-01,447,20704.78,17,74,2025-04-12
NK-CP-1132,Cryogenic Pumps,TX-HOU-02,151,5579.9,27,45,2024-01-15
NK-CM-1388,Compressors,CA-LAX-01,98,19817.57,47,27,2026-01-18
NK-CP-1151,Cryogenic Pumps,PA-PHL-01,376,7902.64,37,10,2024-04-03
NK-CM-1033,Compressors,OH-CLE-01,231,2972.07,33,15,2024-12-12
NK-CM-1039,Compressors,TX-HOU-01,344,16012.61,87,19,2024-03-03
NK-CM-1244,Compressors,OH-CLE-01,28,196.77,43,34,2026-02-24
NK-SL-1109,Seals & Bearings,TX-HOU-02,429,507.64,24,37,2024-05-09
NK-SL-1384,Seals & Bearings,PA-PHL-01,451,20522.7,9,114,2025-02-10
NK-VL-1337,Valves,OH-CLE-01,21,20219.77,8,17,2024-02-16
NK-CM-1046,Compressors,CA-LAX-01,216,17069.07,98,107,2025-07-23
NK-SL-1382,Seals & Bearings,CA-LAX-01,164,6998.75,12,105,2024-04-01
NK-MT-1119,Motors,OH-CLE-01,396,11850.08,60,112,2026-01-18
NK-MT-1457,Motors,PA-PHL-01,346,21965.76,47,56,2026-02-12
NK-IN-1202,Instrumentation,TX-HOU-02,241,621.39,76,48,2025-09-16
NK-VL-1026,Valves,TX-HOU-02,276,23361.14,72,7,2025-09-05
NK-MT-1356,Motors,TX-HOU-01,23,961.56,96,49,2026-04-03
NK-CP-1190,Cryogenic Pumps,OH-CLE-01,442,16804.76,100,13,2025-09-12
NK-VL-1407,Valves,TX-HOU-01,277,24356.08,13,67,2024-02-02
NK-MT-1128,Motors,CA-LAX-01,217,24417.5,75,49,2024-12-26
NK-MT-1184,Motors,TX-HOU-02,118,11302.75,37,65,2024-09-18
NK-CP-1306,Cryogenic Pumps,TX-HOU-02,146,8751.33,11,117,2025-11-02
NK-CP-1400,Cryogenic Pumps,OH-CLE-01,228,12944.25,51,16,2025-07-31
NK-VL-1081,Valves,PA-PHL-01,280,20427.68,43,43,2024-08-03
NK-CM-1154,Compressors,CA-LAX-01,92,24425.19,60,88,2026-04-13
NK-MT-1331,Motors,OH-CLE-01,93,18812.62,21,62,2025-05-29
NK-MT-1103,Motors,TX-HOU-01,464,9658.65,77,91,2024-01-28
NK-CM-1299,Compressors,CA-LAX-01,129,18311.4,50,107,2024-03-10
NK-IN-1000,Instrumentation,TX-HOU-01,12,18170.18,36,35,2024-05-22
NK-MT-1233,Motors,TX-HOU-02,413,10518.11,76,105,2026-04-18
NK-CP-1379,Cryogenic Pumps,OH-CLE-01,115,15632.72,11,19,2025-02-27
NK-CM-1080,Compressors,PA-PHL-01,346,18331.44,27,85,2025-08-05
NK-SL-1063,Seals & Bearings,PA-PHL-01,282,17291.35,76,8,2024-04-24
NK-VL-1008,Valves,OH-CLE-01,453,21112.99,78,31,2025-12-22
NK-IN-1235,Instrumentation,CA-LAX-01,14,4427.16,94,104,2024-11-12
NK-CP-1050,Cryogenic Pumps,TX-HOU-02,35,14581.8,91,117,2024-08-28
NK-VL-1023,Valves,TX-HOU-01,150,10656.55,63,7,2026-01-09
NK-IN-1024,Instrumentation,CA-LAX-01,497,12268.6,27,71,2024-04-18
NK-CP-1175,Cryogenic Pumps,TX-HOU-02,209,21338.95,24,16,2025-04-25
NK-SL-1424,Seals & Bearings,CA-LAX-01,439,17338.12,64,14,2025-07-29
NK-MT-1394,Motors,OH-CLE-01,5,6414.33,51,95,2024-08-29
NK-CP-1066,Cryogenic Pumps,CA-LAX-01,107,16713.34,90,20,2024-12-28
NK-CM-1280,Compressors,OH-CLE-01,145,18435.69,62,36,2025-06-30
NK-CM-1172,Compressors,TX-HOU-01,162,18247.45,95,110,2025-01-25
NK-CM-1145,Compressors,TX-HOU-01,351,5725.4,38,107,2026-03-21
NK-VL-1488,Valves,,110,61.91,11,40,2024-08-15
NK-SL-1322,Seals & Bearings,TX-HOU-01,69,20895.5,62,29,2025-12-31
NK-IN-1391,Instrumentation,PA-PHL-01,423,10483.59,46,18,2025-02-14
NK-IN-1108,Instrumentation,TX-HOU-01,399,23453.86,10,103,2024-02-01
NK-CM-1357,Compressors,OH-CLE-01,233,3656.28,70,24,2024-12-01
NK-CM-1377,Compressors,TX-HOU-02,103,20286.28,39,78,2025-12-13
NK-SL-1203,Seals & Bearings,TX-HOU-01,325,20185.95,94,45,2025-10-26
NK-IN-1273,Instrumentation,OH-CLE-01,47,15830.62,59,72,2025-01-05
NK-IN-1032,Instrumentation,TX-HOU-02,365,7642.9,90,90,2025-01-17
NK-SL-1426,Seals & Bearings,CA-LAX-01,331,1945.05,62,115,2025-01-14
NK-CP-1395,Cryogenic Pumps,TX-HOU-01,238,7522.65,56,94,2025-05-29
NK-SL-1472,Seals & Bearings,TX-HOU-01,85,10654.37,58,45,2025-05-10
NK-IN-1001,Instrumentation,TX-HOU-01,346,18148.56,74,18,2025-08-27
NK-IN-1297,Instrumentation,TX-HOU-01,268,23879.25,13,74,2025-07-11
NK-SL-1167,Seals & Bearings,TX-HOU-01,141,18932.47,58,50,2026-03-17
NK-SL-1442,Seals & Bearings,TX-HOU-01,111,12394.66,52,14,2025-09-24
NK-CP-1232,Cryogenic Pumps,CA-LAX-01,432,13632.28,19,104,2024-10-12
NK-CM-1188,Compressors,TX-HOU-01,121,9348.68,50,80,2024-10-29
NK-SL-1142,Seals & Bearings,TX-HOU-02,135,16183.38,25,37,2024-06-26
NK-IN-1338,Instrumentation,OH-CLE-01,135,15955.65,78,60,2025-09-24
NK-VL-1206,Valves,OH-CLE-01,214,14393.35,98,26,2026-06-25
NK-IN-1047,Instrumentation,PA-PHL-01,79,4659.38,32,14,2025-08-16
NK-SL-1038,Seals & Bearings,TX-HOU-01,49,16147.98,50,61,2025-02-24
NK-MT-1231,Motors,OH-CLE-01,108,3798.07,66,35,2026-05-17
NK-SL-1192,Seals & Bearings,OH-CLE-01,410,8637.37,86,31,2025-09-27
NK-CP-1412,Cryogenic Pumps,CA-LAX-01,237,16503.52,74,61,2025-06-28
NK-VL-1321,Valves,PA-PHL-01,109,24410.98,41,95,2025-05-17
NK-CM-1385,Compressors,TX-HOU-02,479,18352.71,42,119,2024-02-08
NK-CP-1295,Cryogenic Pumps,OH-CLE-01,294,5933.93,23,44,2025-03-15
NK-IN-1452,Instrumentation,CA-LAX-01,289,23944.76,17,74,2024-02-13
NK-CP-1467,Cryogenic Pumps,TX-HOU-02,220,11001.35,76,72,2025-02-21
NK-IN-1201,Instrumentation,CA-LAX-01,299,9340.39,86,54,2024-04-20
